2026-05-05 17:02:32 | INFO     | ggth.models          | build_dl_model                      | Building TRANSFORMER model — input_shape=(60, 30), tuning=False
2026-05-05 17:02:32 | DEBUG    | ggth.models          | _build_transformer                  | Transformer block built — embed_dim=30, heads=4, ff_dim=64, dropout=0.30, projected=False
2026-05-05 17:02:32 | INFO     | ggth.models          | build_dl_model                      | TRANSFORMER model compiled — params=31,133, lr=0.00050
2026-05-05 17:03:45 | INFO     | ggth.models          | build_dl_model                      | Building TCN model — input_shape=(60, 30), tuning=False
2026-05-05 17:03:45 | DEBUG    | ggth.models          | _build_tcn                          | TCN block built   — filters=64, dilations=[1, 2, 4, 8, 16], dropout=0.30
2026-05-05 17:03:45 | INFO     | ggth.models          | build_dl_model                      | TCN model compiled — params=75,137, lr=0.00050
2026-05-05 17:05:41 | INFO     | ggth.models          | build_dl_model                      | Building LSTM model — input_shape=(60, 30), tuning=False
2026-05-05 17:05:41 | DEBUG    | ggth.models          | _build_lstm                         | LSTM block built  — units=64, dropout=0.30
2026-05-05 17:05:41 | INFO     | ggth.models          | build_dl_model                      | LSTM model compiled — params=90,369, lr=0.00050
2026-05-05 17:07:39 | INFO     | ggth.models          | build_dl_model                      | Building GRU model — input_shape=(60, 30), tuning=False
2026-05-05 17:07:39 | DEBUG    | ggth.models          | _build_gru                          | GRU block built   — units=64/32, dropout=0.30
2026-05-05 17:07:39 | INFO     | ggth.models          | build_dl_model                      | GRU model compiled — params=84,865, lr=0.00050
2026-05-05 17:10:29 | INFO     | ggth.models          | build_dl_model                      | Building TRANSFORMER model — input_shape=(60, 30), tuning=False
2026-05-05 17:10:29 | DEBUG    | ggth.models          | _build_transformer                  | Transformer block built — embed_dim=30, heads=4, ff_dim=64, dropout=0.30, projected=False
2026-05-05 17:10:29 | INFO     | ggth.models          | build_dl_model                      | TRANSFORMER model compiled — params=31,133, lr=0.00050
2026-05-05 17:11:42 | INFO     | ggth.models          | build_dl_model                      | Building TCN model — input_shape=(60, 30), tuning=False
2026-05-05 17:11:43 | DEBUG    | ggth.models          | _build_tcn                          | TCN block built   — filters=64, dilations=[1, 2, 4, 8, 16], dropout=0.30
2026-05-05 17:11:43 | INFO     | ggth.models          | build_dl_model                      | TCN model compiled — params=75,137, lr=0.00050
2026-05-05 17:13:31 | INFO     | ggth.models          | build_dl_model                      | Building LSTM model — input_shape=(60, 30), tuning=False
2026-05-05 17:13:32 | DEBUG    | ggth.models          | _build_lstm                         | LSTM block built  — units=64, dropout=0.30
